Month ID,Date,Model,CRPS,ab-Log Score,MIS
541,Jan 2025,VIEWS_bm_ph_conflictology_country12,34.79,0.889,590.6
542,Feb 2025,VIEWS_bm_ph_conflictology_country12,49.94,0.907,840.4
543,Mar 2025,VIEWS_bm_ph_conflictology_country12,20.29,0.783,294.2
544,Apr 2025,VIEWS_bm_ph_conflictology_country12,20.89,0.784,258.7
545,May 2025,VIEWS_bm_ph_conflictology_country12,16.43,1.014,197.3
546,Jun 2025,VIEWS_bm_ph_conflictology_country12,20.63,0.724,282.6
535,Jul 2024,VIEWS_bm_last_historical,18.57,1.212,344.1
536,Aug 2024,VIEWS_bm_last_historical,18.77,1.066,348.4
537,Sep 2024,VIEWS_bm_last_historical,24.02,0.932,453.5
538,Oct 2024,VIEWS_bm_last_historical,28.36,1.157,542.1
539,Nov 2024,VIEWS_bm_last_historical,28.6,1.164,552.2
540,Dec 2024,VIEWS_bm_last_historical,26.46,0.92,502.5
541,Jan 2025,VIEWS_bm_last_historical,38.09,1.276,735.9
542,Feb 2025,VIEWS_bm_last_historical,58.9,1.362,1151.6
543,Mar 2025,VIEWS_bm_last_historical,22.34,1.274,419.3
544,Apr 2025,VIEWS_bm_last_historical,22.39,0.966,420.3
545,May 2025,VIEWS_bm_last_historical,13.54,1.519,244.6
546,Jun 2025,VIEWS_bm_last_historical,15.82,0.94,295.3
535,Jul 2024,Drauz_Becker_quantile_forecast,15.46,0.727,199.0
536,Aug 2024,Drauz_Becker_quantile_forecast,16.34,0.63,196.4
537,Sep 2024,Drauz_Becker_quantile_forecast,23.68,0.655,277.4
538,Oct 2024,Drauz_Becker_quantile_forecast,31.71,0.75,661.3
539,Nov 2024,Drauz_Becker_quantile_forecast,38.65,0.859,720.9
540,Dec 2024,Drauz_Becker_quantile_forecast,26.71,0.579,321.2
541,Jan 2025,Drauz_Becker_quantile_forecast,34.9,0.917,576.8
542,Feb 2025,Drauz_Becker_quantile_forecast,49.98,0.828,995.9
543,Mar 2025,Drauz_Becker_quantile_forecast,24.38,0.754,446.5
544,Apr 2025,Drauz_Becker_quantile_forecast,21.81,0.847,422.7
545,May 2025,Drauz_Becker_quantile_forecast,19.92,1.071,366.0
546,Jun 2025,Drauz_Becker_quantile_forecast,24.64,0.776,453.6
535,Jul 2024,Randahl_Vegelius_markov_gpcmm,44.46,8.648,731.8
536,Aug 2024,Randahl_Vegelius_markov_gpcmm,37.32,8.766,649.3
537,Sep 2024,Randahl_Vegelius_markov_gpcmm,45.5,8.794,810.2
538,Oct 2024,Randahl_Vegelius_markov_gpcmm,55.3,8.879,973.6
539,Nov 2024,Randahl_Vegelius_markov_gpcmm,53.91,8.746,930.5
540,Dec 2024,Randahl_Vegelius_markov_gpcmm,51.29,8.842,854.0
541,Jan 2025,Randahl_Vegelius_markov_gpcmm,55.26,8.598,919.0
542,Feb 2025,Randahl_Vegelius_markov_gpcmm,65.32,8.691,1146.8
543,Mar 2025,Randahl_Vegelius_markov_gpcmm,41.81,8.737,610.3
544,Apr 2025,Randahl_Vegelius_markov_gpcmm,42.25,8.755,622.2
545,May 2025,Randahl_Vegelius_markov_gpcmm,36.48,8.731,565.7
546,Jun 2025,Randahl_Vegelius_markov_gpcmm,46.02,8.818,774.5
535,Jul 2024,Randahl_Vegelius_markov_hpmm,36.54,0.831,204.7
536,Aug 2024,Randahl_Vegelius_markov_hpmm,29.93,0.755,177.6
537,Sep 2024,Randahl_Vegelius_markov_hpmm,39.29,0.809,380.0
538,Oct 2024,Randahl_Vegelius_markov_hpmm,49.12,0.843,488.5
539,Nov 2024,Randahl_Vegelius_markov_hpmm,47.74,0.87,520.0
540,Dec 2024,Randahl_Vegelius_markov_hpmm,44.38,0.74,295.1
541,Jan 2025,Randahl_Vegelius_markov_hpmm,49.91,0.943,576.7
542,Feb 2025,Randahl_Vegelius_markov_hpmm,60.04,0.84,748.0
543,Mar 2025,Randahl_Vegelius_markov_hpmm,35.74,0.765,229.0
544,Apr 2025,Randahl_Vegelius_markov_hpmm,34.75,0.806,167.8
545,May 2025,Randahl_Vegelius_markov_hpmm,29.96,0.923,157.0
546,Jun 2025,Randahl_Vegelius_markov_hpmm,39.45,0.841,275.1
535,Jul 2024,Randahl_Vegelius_markov_omm,16.25,0.682,215.5
536,Aug 2024,Randahl_Vegelius_markov_omm,13.33,0.512,193.1
537,Sep 2024,Randahl_Vegelius_markov_omm,20.69,0.578,348.3
538,Oct 2024,Randahl_Vegelius_markov_omm,31.3,0.646,502.5
539,Nov 2024,Randahl_Vegelius_markov_omm,33.18,0.736,558.0
540,Dec 2024,Randahl_Vegelius_markov_omm,25.32,0.562,382.0
541,Jan 2025,Randahl_Vegelius_markov_omm,34.76,0.833,587.6
542,Feb 2025,Randahl_Vegelius_markov_omm,48.92,0.794,827.4
543,Mar 2025,Randahl_Vegelius_markov_omm,20.02,0.702,270.8
544,Apr 2025,Randahl_Vegelius_markov_omm,20.67,0.639,258.2
545,May 2025,Randahl_Vegelius_markov_omm,16.92,0.807,200.5
546,Jun 2025,Randahl_Vegelius_markov_omm,21.87,0.652,298.1
535,Jul 2024,Muchlinski_Thornhill_zeroinf_GAM,52.06,2.424,1002.0
536,Aug 2024,Muchlinski_Thornhill_zeroinf_GAM,51.8,2.438,996.1
537,Sep 2024,Muchlinski_Thornhill_zeroinf_GAM,58.89,2.418,1136.9
538,Oct 2024,Muchlinski_Thornhill_zeroinf_GAM,69.3,2.453,1347.2
539,Nov 2024,Muchlinski_Thornhill_zeroinf_GAM,67.19,2.555,1304.2
540,Dec 2024,Muchlinski_Thornhill_zeroinf_GAM,63.42,2.393,1228.4
541,Jan 2025,Muchlinski_Thornhill_zeroinf_GAM,70.17,2.415,1365.0
542,Feb 2025,Muchlinski_Thornhill_zeroinf_GAM,84.83,2.374,1658.2
543,Mar 2025,Muchlinski_Thornhill_zeroinf_GAM,53.47,2.485,1029.5
544,Apr 2025,Muchlinski_Thornhill_zeroinf_GAM,51.93,2.27,998.6
545,May 2025,Muchlinski_Thornhill_zeroinf_GAM,50.39,2.485,967.6
546,Jun 2025,Muchlinski_Thornhill_zeroinf_GAM,60.43,2.405,1168.2
535,Jul 2024,CCEW_tft,20.82,1.086,263.6
536,Aug 2024,CCEW_tft,12.85,0.959,140.8
537,Sep 2024,CCEW_tft,22.98,1.068,285.9
538,Oct 2024,CCEW_tft,34.32,1.188,578.6
539,Nov 2024,CCEW_tft,35.24,1.15,589.6
540,Dec 2024,CCEW_tft,28.77,1.012,367.3
541,Jan 2025,CCEW_tft,33.52,1.195,534.7
542,Feb 2025,CCEW_tft,43.96,1.242,745.5
543,Mar 2025,CCEW_tft,18.91,1.135,263.7
544,Apr 2025,CCEW_tft,19.88,1.139,247.9
545,May 2025,CCEW_tft,19.67,1.217,272.7
546,Jun 2025,CCEW_tft,23.87,1.141,348.4
535,Jul 2024,UNITO_transformer,52.07,1.052,817.9
536,Aug 2024,UNITO_transformer,60.53,0.979,926.7
537,Sep 2024,UNITO_transformer,67.58,0.979,1085.9
538,Oct 2024,UNITO_transformer,71.26,1.032,1171.8
539,Nov 2024,UNITO_transformer,69.89,1.273,1140.1
540,Dec 2024,UNITO_transformer,66.46,1.003,1091.8
541,Jan 2025,UNITO_transformer,71.19,1.319,1146.0
542,Feb 2025,UNITO_transformer,87.54,1.057,1435.1
543,Mar 2025,UNITO_transformer,51.31,1.178,793.8
544,Apr 2025,UNITO_transformer,56.99,1.223,872.9
545,May 2025,UNITO_transformer,59.73,1.316,882.8
546,Jun 2025,UNITO_transformer,54.59,1.064,876.1
535,Jul 2024,VIEWS_bm_exactly_zero,53.3,1.945,1066.0
536,Aug 2024,VIEWS_bm_exactly_zero,43.75,1.736,875.1
537,Sep 2024,VIEWS_bm_exactly_zero,51.52,1.736,1030.4
538,Oct 2024,VIEWS_bm_exactly_zero,63.23,1.736,1264.6
539,Nov 2024,VIEWS_bm_exactly_zero,61.91,1.841,1238.2
540,Dec 2024,VIEWS_bm_exactly_zero,59.14,1.684,1182.8
541,Jan 2025,VIEWS_bm_exactly_zero,63.91,1.997,1278.2
542,Feb 2025,VIEWS_bm_exactly_zero,72.37,1.893,1447.3
543,Mar 2025,VIEWS_bm_exactly_zero,51.97,1.841,1039.5
544,Apr 2025,VIEWS_bm_exactly_zero,50.95,1.841,1019.1
545,May 2025,VIEWS_bm_exactly_zero,44.54,1.945,890.9
546,Jun 2025,VIEWS_bm_exactly_zero,52.99,1.789,1059.8
