country_iso3,year_month,acled_event_count,acled_fatalities,acled_peak_fatalities,acled_battle_count,acled_explosion_count,acled_violence_count,acled_protest_count,acled_riot_count
MRT,2021-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2021-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2022-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2023-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2024-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRT,2025-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1985-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1985-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1985-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1985-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,1985-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
