country_iso3,year_month,fx_pct_change,fx_volatility,fx_volatility_log,fx_depreciation_flag,fx_pct_change_zscore
AFG,2013-01,-0.0019219680953296292,0.025770620645159035,0.025444155131183,0,-0.31167760596099525
AFG,2013-02,0.0015405353360291585,0.016161205421444034,0.016032003323441957,0,-0.0380942038995682
AFG,2013-03,0.024610651797731142,0.014423355607938502,0.014320328497228361,0,1.7099111745135447
AFG,2013-04,0.016513417151435617,0.011704576543185921,0.011636607836344688,0,1.050938787177842
AFG,2013-05,0.01919881853424399,0.004124409629990313,0.004115927566929063,0,1.2192968464281249
AFG,2013-06,0.005433798224959263,0.007296633016418608,0.007270141378184463,0,0.15678361377309938
AFG,2013-07,0.022158169699153296,0.008925041032950526,0.008885448257942196,0,1.4080655195853138
AFG,2013-08,-0.007754670426506904,0.014991210263355691,0.0148799526171956,0,-0.8764713203254396
AFG,2013-09,0.00852575488454721,0.014975941742060874,0.01486490949565541,0,0.37539083017869324
AFG,2013-10,0.0103909827404014,0.009981616870667743,0.009932129569374972,0,0.5135652097481296
AFG,2013-11,0.003486142583231766,0.0035719645551126043,0.003565600240622326,0,-0.02908238987267197
AFG,2013-12,0.0013896126454751023,0.00470986409856668,0.004698807392117771,0,-0.19367510682986538
AFG,2014-01,-0.01925411968777102,0.012567674477143157,0.012489356754702424,0,-1.7702483138609415
AFG,2014-02,0.009904492394764874,0.014993840515199253,0.014882544017405719,0,0.5098335355405031
AFG,2014-03,0.004903677758318681,0.015592904278625152,0.01547258409556739,0,0.11346202174940266
AFG,2014-04,-0.00226559776925761,0.006117158289309859,0.0060985244287797705,0,-0.4535550111990859
AFG,2014-05,0.0006986899563319326,0.003602486079668711,0.003596012668947932,0,-0.2128498144990998
AFG,2014-06,0.007156571827544145,0.004817823158050843,0.004806254590056518,0,0.30864168872569775
AFG,2014-07,-0.0031195840554593124,0.005194273039021547,0.005180829336232888,0,-0.5273306041633494
AFG,2014-08,-0.015820584144645378,0.011509883286170591,0.011444148498511848,0,-1.5266577940349508
AFG,2014-09,0.010952128599187372,0.013392203253910037,0.013303320378911692,0,0.6456769992002509
AFG,2014-10,0.0038441376900228974,0.013868447204977126,0.013773160268242324,0,0.06311132919984638
AFG,2014-11,0.0,0.005556528445557767,0.005541147890066655,0,-0.25218144400135156
AFG,2014-12,0.0,0.002219413930136656,0.0022169546691132675,0,-0.2499353246265267
AFG,2015-01,0.009573542210617791,0.005527287172398404,0.00551206777621527,0,0.5481450495381255
AFG,2015-02,-0.012042439655172377,0.010831464469537479,0.010773224331496656,0,-1.250911340696525
AFG,2015-03,0.0036379738739475975,0.011168087063486288,0.011106184442000627,0,0.0667286248865862
AFG,2015-04,0.00643366371065901,0.00995872854746181,0.009909467193964896,0,0.30108605278857475
AFG,2015-05,0.016758811333793977,0.006911113402223108,0.006887341123753228,0,1.1607836771822584
AFG,2015-06,0.020560747663551426,0.007310242749128641,0.007283652433739724,0,1.4484428901022024
AFG,2015-07,0.00899100899100902,0.0058970660225096385,0.005879746385345836,0,0.4680067375644026
